id,comment,,
156,: 她個性本來就超適合上綜藝了XD,,
157,: 她在海外演唱會上真的很明顯比較話少只,,
158,: 附和一些單字和做反應XD 真的都交給妹,,
159,: 妹們就好XD 但我覺得小可惜 其實她可以,,
160,: 說韓文啊～想聽～,,
161,: 她個性很古怪可愛耶 而且她新歌有點圈,,
162,: 粉耶,,
163,: 很真實 交給英文最好的朋友來XDD,,
164,: 被她的烏拉拉可愛到了 好可愛哦,,
165,: Jisoo個性超可愛 不用擔心她怎麼跟藝術,,
166,: 總監聊天 人家把她當親女兒寶貝勒 她個,,
167,: 人出席活動也會講 影片很多,,
168,: YG不是語言老師很強 真的要多幫他上英文,,
169,: 這樣跟奢侈品高層或國外人士溝通會更順利,,
170,: 有進步就好 語言真的很難短期進步 加油,,
171,: 真的很喜歡智秀的個性，他在weverse回覆,,
172,: 粉絲的留言很多也很好笑,,
173,: 她超圈路人粉的XD長超漂亮結果個性這麼,,
174,: 有趣,,
175,: 她就承認自己英文普通還有人要硬說去別,,
176,: 團可以當英文擔當,,
177,: 好圈粉 超可愛！,,
178,: 樓上擔心她英文溝通的是住海邊嗎快笑死,,
179,: 品牌不知道砸多少錢請她代言了還有人要擔心,,
180,: 她溝通不順利 是以為她要自己去投履歷嗎XD,,
181,: 她只要微笑就夠了，美到爆炸，不用言語,,
182,: 好可愛,,
183,: 所以說現在大部分團都有海歸或外國人,,
184,: ，去別團也輪不到她啦哈哈哈,,
185,: 昨天推文沒改好就送出了,,
186,: 到底為什麼會有人覺得她會溝通不順,,
187,: XDDD,,
188,: 說的好像KPOP外籍成員就一定是英語母語一樣,,
189,: 人家是JISOO 不是你還要去考托福跟雅思,,
190,: 現實就是不可能去別團，你硬要在這邊,,
191,: 跟酸民槓給Jisoo招黑那就請繼續,,
192,: 現實就是不是外籍成員就是英語母語好嗎,,
193,: 要放大絕就早點放 不是說了漏洞百出的話才,,
194,: 在那邊放大絕,,
195,: 那句意思也不是說他可以去別團 是要表達英,,
196,: 語能力是相對不是絕對 還在那邊嫌她英語不,,
197,: 夠好 真的杞人憂天,,
198,: 不是粉 但她個性真可愛 多上綜藝吧,,
199,: 為啥有人在幫他擔心英文阿  他明星耶XD,,
200,: 真想要有Jisoo這種個性的朋友，很豁然開,,
201,: 朗的感覺,,
202,: 說進軍英語市場要練英文就算了，上面,,
203,: 說看秀都是去法國耶xd 而且以Dior想搶,,
204,: 人的態度，能不能溝通是Dior的問題吧,,
205,: 完蛋 有點愛上她了 性格真的好棒,,
206,: 好可愛 希望多上綜藝,,
207,: 印象很深刻他去法國dior看秀前官方有帶,,
208,: 他看後台介紹 然後他一直說i love it i,,
209,:  love this color超可愛 然後dior直接,,
210,: 把秀說i love it的那個包送他Xdd,,
211,: https://youtu.be/5lYweLMdSGI,,
212,: 樓上是說這影片0:36秒那個包?,,
213,: I love this color腦袋馬上出現聲音XD,,
214,: 生活法則 i love it , so cute ,so see
215,: t ,i love this flower,
216,: 然後FLOWER(???,,
217,: *so sweet,,
218,: 對就是那個,,
219,:  https://youtu.be/emzxrZAHWYo,,
220,: 大谷翔平沒在講英文的,,
221,: 當初公司與其因為她的臉送去演戲，不如,,
222,: 因為個性讓她走綜藝XD好有效果,,
223,: 強者朋友在身旁的時候進入軟爛模式很正,,
224,: 常吧XDDD,,
225,: Jisoo常常蹦出英文金句 超好笑,,
226,: 有朋友幹嘛要我講XD,,
227,: “Your English is a pity.”,,
228,:                        — Kim Jisoo,,
229,: 性格超圈粉的，雖然沒準備什麼菜也,,
230,: 很好看！,,
231,: She's Jisoo. She's okay.,,
232,: 她個性很坦然，替隊友驕傲，不會有比較心,,
233,:  很優,,
234,: Jisoo 的個性真的很圈粉 很有親和力,,
235,: 好可愛….整個淪陷,,
236,: Jisoo真的比我想像中還要活播可愛 喜歡,,
237,: 活潑,,
238,: 可愛,,
239,: 他年薪搞不好都好幾億了 不講英文也沒關,,
240,: 西啦,,
241,: XDD,,
242,: b站flowe二創搭中文歌 很洗腦,,
243,: 跑掉真的太不給面子了XD 其他狗狗都很,,
244,: 可愛的呀,,
245,: 手指不怕被Comme Des咬到嗎？www,,
246,: Garcons超不配合爸爸XD,,
247,: https://youtu.be/ORF_S3BoZn4,,
248,: Comme Des 真的是不意外XDD 全會長的,,
249,: 翻譯機需要借給KEY了,,
250,: 順著逃走好可愛XD,,
251,: 笑死,,
252,: 不配合的兒子們XD,,
253,: XDDD,,
254,: 超好笑kk,,
255,: 真的好好笑XD,,
256,: 超不配合xdddd,,
257,: 好好笑XDDDDDDD,,
258,: XDDD,,
259,: 超不配合的呆慫XD,,
260,: 超可愛的,,
261,: 哈哈,,
262,: 這麼無聊的新聞也要特地翻出來= =,,
263,: 不就一個舞蹈動作而已 IVE的Love Dive也有,,
264,: 類似動作啊 還比較像勒,,
265,: 起初發這種新聞，難不成是想圖一個音樂,,
266,: 逆襲？→_→,,
267,: 覺得蠻有趣的啊XD,,
268,: 就好玩啊,,
269,: 有人的幽默感死去,,
270,: 他們在bigbang 那時就很有名了,,
271,: 以前還有自己的粉絲還有自製週邊他們一,,
272,: 直很有名啊哈哈,,
273,: SMF他們也有參加不是嗎,,
274,: 雙胞胎BB21時代就很紅了 我還買過台,,
