排名,drama/variety show
1,那年，我們的夏天
2,二十五，二十一
3,不可殺：永生之靈
4,殭屍校園
5,氣象廳的人們
6,三十九
7,少年法庭
8,梨泰院Class
9,單身即地獄
10,社內相親
